exp_name,agent,cue_idx,mean,sem,llm_only,context_idx,block_feedback_type,block_forced_type
partial,llm,0.0,0.088125,0.011271179811658304,False,,,
partial,llm,23.0,0.045,0.008638467200718508,False,,,
full,llm,,0.24687499999999998,0.02136417395231844,False,0.0,,
full,llm,,0.021875000000000002,0.008137073188716816,False,19.0,,
full,llm,,0.06874999999999999,0.013828311027159982,block_feedback_type,,0.0,
full,llm,,0.021875000000000002,0.008137073188716816,block_feedback_type,,1.0,
agency,llm,,0.24166666666666664,0.02460843311905454,False,0.0,,
agency,llm,,0.020833333333333332,0.009185718705002247,False,39.0,,
agency,llm,,0.06666666666666667,0.015768330559708874,block_forced_type,,,0.0
agency,llm,,0.020833333333333332,0.009185718705002247,block_forced_type,,,1.0
agency,human,,0.07083333333333333,0.01619000790198559,False,39.0,,
agency,llm,,0.020833333333333332,0.009185718705002247,False,39.0,,
full,human,,0.028124999999999997,0.009176564840804367,False,19.0,,
full,llm,,0.021875000000000002,0.008137073188716816,False,19.0,,
partial,human,,0.03375,0.007607582669307757,False,23.0,,
partial,llm,,0.045,0.008638467200718508,False,23.0,,
